latitude,longitude,bearing
51.471866776307735,-0.22128991619136887,-39.142755021821266
51.47191209361844,-0.22134913064257672,-37.5940906944884
51.47195210635094,-0.2213985888248711,-36.973377629301815
51.47199816139213,-0.2214542504049641,-37.88328928513369
51.47204168709479,-0.22150861491727175,-36.8092133851513
51.4720851074061,-0.22156078004623705,-36.25068067019536
51.472132918927876,-0.22161706197188474,-36.51094598745879
51.4721736342544,-0.22166544865084598,-36.514022945987804
51.47222018110692,-0.22172077186982364,-36.285020002395136
51.47226300421555,-0.2217712451499011,-36.45733984633204
51.472306319135505,-0.22182262073109849,-36.53259720377809
51.47235254982296,-0.2218776055889608,-37.96089629469032
51.47239235177274,-0.22192745852348358,-37.424954548065664
51.47243830142258,-0.22198390963690748,-36.58475669414113
51.47247933291417,-0.22203280386476024,-37.14243033310258
